id,description,price,active,country,grapes,img,vintage,wine_name,wine_producer,category
11, We love this prime estate in the heart of Fronton - about half an hour north of Toulouse in the rustique South West. There is nothing rustic about this smart red though! Deep ruby in colour. Fresh bouquet with intense ar...(read more),11,1,France,"Cabernet Franc, Cabe",https://www.leaandsandeman.co.uk//photos/2018-CHATEAU-BELLEVUE-LA-FORET-Cotes-du-Frontonnais.90x235.24867.png,2018,CHATEAU BELLEVUE LA FORET,Côtes du Frontonnai,Red
12," From a good vintage and always delivering incredible value for money, Eric Duffau's brilliant Chateau Belle Garde is one of our longest standing listings. Leaf tea, cassis, plum and tobacco aromas are backed by a w...(read more)",11,1,France,"Cabernet Sauvignon, Merlot.",https://www.leaandsandeman.co.uk//photos/2018-CHATEAU-BELLE-GARDE-Bordeaux.90x235.25416.png,2018,CHATEAU BELLE GARDE,Bordeau,Red
13," This red has such an open and inviting personality, it is hard not to fall for it from the first sniff. There is pungency of ripe red and black fruits, glossy and warming, it is filled with sunshine. But the palate plays...(read more)",11,1,Spain,"Syrah, Garnacha. Certified Organi",https://www.leaandsandeman.co.uk//photos/2019-GARNACHA-SYRAH-Bodegaverde.90x235.25800.png,2019,GARNACHA SYRAH,Bodegaverd,Red
14," 2018 is another fabulous vintage of our much loved house claret. Offering such great value, our Lea & Sandeman Bordeaux is loaded with plum and cassis, with silky smooth tannins and a soft vanilla streak in the backg...(read more)",11,1,France,Merlot.,https://www.leaandsandeman.co.uk//photos/2018-LEA-SANDEMAN-Bordeaux.90x235.28833.png,2018, &SANDEMAN, Bordeaux,Red
15, From the beautiful Auvergne region of France (an area more famous for scenery than vineyards) comes this super-value Pinot Noir. You can really feel the volcanic influence in this fruit filled red - damson and raspberry...(read more),11,1,France,Pinot Noir.,https://www.leaandsandeman.co.uk//photos/2019-PUY-DE-DOME-PINOT-NOIR-Cave-de-Verny.90x235.26456.png,2019,PY-DE-DÔME PINOT NOIR, Cave de Vern,Red
16, Harvest is quite late here to allow the Monastrell (Mouvedre) to reach peak maturity - and the grapes are brought in during the first week of October. The estate works organically and the Monastrell vines are now more th...(read more),11,1,Spain,Monastrell. Certified Organi,https://www.leaandsandeman.co.uk//photos/2019-TALENTO-Monastrell-Ecologico-Ego-Bodegas.90x235.27265.png,2019,TALENTO,Monastrell Ecológico Ego Bodega,Red
17," The grapes for this juicy and enticing Spanish Red come exclusively from 3 ha of a single parcel called “La Pinada”, growing on alluvial and clay soils. These bush-vines are really old now, planted in 1958, and are one o...(read more)",12,1,Spain,Bobal.,https://www.leaandsandeman.co.uk//photos/2017-LA-PINADA-Bobal-Agricola-de-Vinos-la-Higuera.90x235.26893.png,2017,LA PINADA,Bobal Agricola de Vinos la Higuer,Red
18, A blend of 90% Sangiovese 5% Canaiolo and 5% Malvasia Nera. Jacopo Morganti's flagship wine improves year on year as he gets to know the plots better and the average vine age increases. Good weight and typical Chianti id...(read more),12,1,Italy,"Sangiovese, Canaiolo, Malvasia.",https://www.leaandsandeman.co.uk//photos/2019-CHIANTI-DON-GUIDO-Montalbano-Fattoria-La-Collina.90x235.26413.png,2019,CHIANTI DON GUIDO,Montalbano Fattoria La Collin,Red
19,"""Toro is the home of seriously deep, powerful, brooding red wines – substantial Tempranillos (or, as the thick-skinned local clone is known, Tinta de Toro) that provide comfort, warmth, and ballast in dark north...(read more)",12,1,Spain,Tinta de Toro.,https://www.leaandsandeman.co.uk//photos/2019-MUNIA-TORO-Roble-Bodegas-Vinaguarena.90x235.26523.png,2019,MUNIA TORO,Roble Bodegas Viñaguareñ,Red
20," Nice light colour ('Portugal's Pinot Noir') and lovely soft nose, the creamy French oak and a nice briar note, with 20% whole bunches and stems giving lovely soft berry fruit and briar, long with gentle spice and lovely...(read more)",11,1,Portugal,Afrocheiro .,https://www.leaandsandeman.co.uk//photos/2020-ALFROCHEIRO-Terras-d-Alter.90x235.26894.png,2020,ALFROCHEIRO,Terras d'Alte,Red
21,,11,1,France,Cabernet,https://www.leaandsandeman.co.uk//photos/2019-CHATEAU-TOUR-DE-BIOT-Bordeaux.90x235.27693.png,2019,CHATEAU TOUR DE BIOT,Bordeau,Red
22," Displays an explosive red fruit profile with moderate grippy tannins, surprising acidity and an elegance.",11,1,France,Grenache. Vega,https://www.leaandsandeman.co.uk//photos/2021-GRENACHE-Domaine-Gayda.90x235.28843.png,2021,GRENACHE,Domaine Gayd,Red
23," 2018 has produced some seriously lovely wines at many levels and this is one such example. Well endowed with cassis, plum and tobacco. In the mouth it has ripeness balanced by a lovely frame of fine tannins, notes of smo...(read more)",12,1,France,"Cabernet Franc,",https://www.leaandsandeman.co.uk//photos/2018-CHATEAU-MONDION-Bordeaux-Superieur.90x235.28038.png,2018,CHATEAU MONDION,Bordeaux Supérieu,Red
24," A supple succulent and silky Pinot that delivers bags of ripe red fruit crunch. Bright and perky with redcurrant, raspberry and cherry fruits with a haunting note of spiced damson for good measure.",12,1,Germany,Pinot Noir.,https://www.leaandsandeman.co.uk//photos/2019-PINOT-NOIR-Weingut-Petri.90x235.28095.png,2019,PINOT NOIR,Weingut Petr,Red
25,,12,1,Spain,"Tempranillo, Viura.",https://www.leaandsandeman.co.uk//photos/2021-ARTUKE-Rioja.90x235.28798.png,2021,ARTUKE,Rioja,Red
26," 95% Malbec & 5% Merlot. Dark and plummy with a deep draught of juicy black fruit, some nice tannic grip adds structure and then a floral violet edge unfolds with a deep chocolatiness on the finish.",12,1,France,"Malbec, Merlot.",https://www.leaandsandeman.co.uk//photos/2018-CAHORS-Cuvee-Cedre-Heritage-Pascal-Verhaeghe.90x235.25356.png,2018,CAHORS,Cuvée Cèdre Héritage Pascal Verhaegh,Red
27," A lovely Crianza from Bodegas Ruconia. This is a firm favourite at L&S. Lots of lively cherry fruit wrapped up in attractive vanilla oak. Medium bodied, the wine holds a good high tone throughout. Another Rioja that...(read more)",12,1,Spain,"Tempranillo, Graciano, Mazuelo.",https://www.leaandsandeman.co.uk//photos/2018-REY-DON-GARCIA-RIOJA-Crianza-Bodegas-Ruconia.90x235.28357.png,2018,REY DON GARCIA RIOJA,Crianza Bodegas Ruconi,Red
28," This fabulously inviting, sparkling red bursts all the myths about Lambrusco by being dry and joyously drinkable. Grown organically on clay and limestone soils the results are fantastic. Fresh bright black cherry, blackb...(read more)",12,1,Italy,Lambrusco Maestri. Practising Organi,https://www.leaandsandeman.co.uk//photos/LAMBRUSCO-Classico-Monte-delle-Vigne.90x235.22104.png,0,USCO,Classico Monte delle Vign,Red
29," This once again represents extraordinary value. The 4 months in American oak - really softens out the old vine Monastrell, Syrah & Petit Verdot juice. The fruit is all hand-harvested and then treated gently in the ce...(read more)",13,1,Spain,Petit ,https://www.leaandsandeman.co.uk//photos/2019-ACUMA-Ego-Bodegas.90x235.27298.png,2019,ACUMA,Ego Bodega,Red
30," Just such a sleek and supple style, filled with woodland fruits, briar, plum and fragrant herbs. Lovely feel and grip, lots of ripe berry fruit in the core, then delicate aniseed and herbs. Great with stews, roasts and o...(read more)",13,1,Italy,Sangiovese.,https://www.leaandsandeman.co.uk//photos/2019-CHIANTI-Haurio-Colli-Senesi-Mormoraia.90x235.29270.png,2019,CHIANTI,Haurio Colli Senesi Mormorai,Red
31," The second vintage of this for us, the 2016 Aimee follows the sleek and easily drinkable style of the 2015 with a wine that is really very similar in style. With the fresh balance and accuracy of the 2016 vintage,...(read more)",13,1,France,"Carmenère, Cabernet Sauvignon, P",https://www.leaandsandeman.co.uk//photos/2016-CHATEAU-AIMEE-Medoc.90x235.24460.png,2016,CHATEAU AIMEE,Médo,Red
32," 50% Syrah 30% Grenache & 20% Cinsault. The temptation to overwork wine must be immense, so hats off to the team at Sollier, this is about as easy going and inviting as red wine can be. A brightness and purity of frui...(read more)",13,1,France,"Cinsault, Grenache, Syrah. Certified Organi",https://www.leaandsandeman.co.uk//photos/2019-TERRE-RONDE-Domaine-le-Sollier.90x235.27687.png,2019,TERRE RONDE,Domaine le Sollie,Red
33, This is pretty - with lovely lifted aromatics and a pure feel to the red berry fruit and pillow of pert plum flesh. Spiced well too with notes of five spice and cedar box that add further layers to this well priced gem f...(read more),13,1,France,Cabernet Fran,https://www.leaandsandeman.co.uk//photos/2019-CHATEAU-LES-VIEUX-MOULINS-Cuvee-Pirouette-Cotes-de-Blaye.90x235.28431.png,2019,CHATEAU LES VIEUX MOULINS,Cuvée Pirouette Côtes de Blay,Red
34,,14,1,France,"Grenache, Syrah.",https://www.leaandsandeman.co.uk//photos/2019-SYRAH-GRENACHE-Champs-du-Coq-Domaine-La-Croix-Belle.90x235.28016.png,2019,SYRH-GRENACHE, Champs du Coq Domaine La Croix Bell,Red
35,,13,1,South Africa,Cabernet Sauvignon,https://www.leaandsandeman.co.uk//photos/2019-MEERLUST-RED.90x235.28177.png,2019,MEERLUST,Meerlust,Red
36,,14,1,France,Gamay.,https://www.leaandsandeman.co.uk//photos/2020-BEAUJOLAIS-VILLAGES-Domaine-Rochette.90x235.28259.png,2020,BEAUJOLAIS VILLAGES,Domaine Rochett,Red
37,,14,1,Italy,Nero d'Avola.,https://www.leaandsandeman.co.uk//photos/2020-NERO-D-AVOLA-Rosso-Le-Casematte.90x235.28384.png,2020,NERO,D'AVOLA Rosso Le Casematt,Red
38," A blend of 60% Grenache, 30% Syrah and 10% Carignan. What a revelation this wine is. The wild intense nose has good meaty savour thrown in with the attractive dark berry fruit. And then the palate has great bounce! Despi...(read more)",14,1,France,"Carignan, Grenache, Syrah.",https://www.leaandsandeman.co.uk//photos/2020-PEZENAS-ROUGE-Le-Pech-Mege-AOC-Domaine-des-Trinites.90x235.29176.png,2020,PEZENAS ROUGE,Le Pech Mégé AOC Domaine des Trinité,Red
39,,13,1,Argentina,Malbec.,https://www.leaandsandeman.co.uk//photos/2021-ARUMA-Bodegas-Caro.90x235.29212.png,2021,ARUMA,Bodegas Car,Red
40," This really typifies how good Bordeaux can be even at a relatively affordable price. Great vintage, wonderful balance and freshness, poise and a deep cassis and plum fruitiness. The shape is so lithe and supple, very smo...(read more)",14,1,France,"Cabernet Sauvignon, Merlot.",https://www.leaandsandeman.co.uk//photos/2016-CHATEAU-SAINT-PAUL-Cru-Bourgeois-Medoc-Chateau-Saint-Paul.90x235.26375.png,2016,CHATEAU SAINT PAUL,Cru Bourgeois Médoc Château Saint Pau,Red
41," Sumptuously rich, spicy, southern French blend of syrah, grenache and mourvedre. Drink with anything big and beefy.",14,1,France,"Mourvèdre, Grenache, Syrah.",https://www.leaandsandeman.co.uk//photos/2019-FAUGERES-Le-Portails-Domaine-des-Trinites.90x235.27435.png,2019,FAUGERES,Le Portails Domaine des Trinité,Red
42, From 120-year-old Cinsault vines. I have enjoyed this wine over a number of vintages and am delighted that it is finally being imported to London. Medium colour. Elegantly fragrant red fruit on the nose. With an equally...(read more),14,1,France,"Cinsault, Syrah.",https://www.leaandsandeman.co.uk//photos/2020-L-ETRANGER-120-Year-Old-Vine-Domaine-des-Trinites.90x235.28009.png,2020,ÉTRANGER 120 Year Old Vine ,Domaine des Trinité,Red
43,,14,1,South Africa,Cabernet Franc.,https://www.leaandsandeman.co.uk//photos/2018-CABERNET-FRANC-Glass-Collection-Glenelly-Estate.90x235.28816.png,2018,CABERNET FRANC,Glass Collection Glenelly Estat,Red
44," Serious, age-worthy beaujolais – but why wait when it’s so delicious now?",14,1,France,Gamay.,https://www.leaandsandeman.co.uk//photos/2020-COTE-DE-BROUILLY-Les-Grilles-Domaine-Chevalier-Metrat.90x235.28656.png,2020,COTE DE BROUILLY,Les Grillés Domaine Chevalier-Métra,Red
45,,15,1,France,Gamay.,https://www.leaandsandeman.co.uk//photos/2020-REGNIE-Domaine-Rochette.90x235.28258.png,2020,REGNIE,Domaine Rochett,Red
46,,15,1,France,"Carignan, Grenache, Syrah.",https://www.leaandsandeman.co.uk//photos/2020-COTES-DU-RHONE-Domaine-Romain-Roche.90x235.28433.png,2020,COTES DU RHONE,Domaine Romain Roch,Red
47," These gnarly, small bush vines are between 30 and 70 years old. Pretty nose of violets, cherry and raspberry with nice intensity and freshness. Palate has some good richness, lovely flesh, ripely fruity, perky cherries m...(read more)",14,1,France,Gamay.,https://www.leaandsandeman.co.uk//photos/2019-BROUILLY-Les-Mines-Domaine-Chevalier-Metrat.90x235.28657.png,2019,Les Mines,Domaine Chevalier-Métra,Red
48," Always a later release than you would normally find and as a result a finer and more complex wine. Sleek, with a distinct freshness and elegance, loganberry, mulberry and a dusty chocolate note. Tannins are fine and add...(read more)",15,1,Italy,Primitivo.,https://www.leaandsandeman.co.uk//photos/2017-PRIMITIVO-DI-MATERA-Akratos-DOC-Battifarano.90x235.27541.png,2017,PRIMITIVO DI MATERA,Akratos DOC Battifaran,Red
49," 100% Macabeu from the historic “Finca El Renegado” vineyards, the oldest part of Bodegas Nodus estate. The vines are approximately 800 metres above sea level in the beautiful area surrounding the town of ‘Caudete de las...(read more)",7,1,Spain,,https://www.leaandsandeman.co.uk//photos/2018-CAPELLANA-Blanco-Bodegas-Nodus.90x235.22736.png,2018,CAPELLANA,Blanco Bodegas Nodu,White
50," Chaval is the local Valencia name for a 'youngster' and the Chaval Blanco is the most fun and carefree of the whites from this great Finca. An organic Chardonnay Moscatel blend from Valencia. Bright floral soft fruit, hi...(read more)",8,1,Spain,,https://www.leaandsandeman.co.uk//photos/2020-CHAVAL-BLANCO-Bodegas-Nodus.90x235.26910.png,2020,CHAVAL' BLANCO ,Bodegas Nodu,White
51," A very fresh pure and easy going style with some zesty citrus, gooseberry and guava touches. Lovely lift of acidity on the palate, gentle concentration, a good everyday quaffer.",8,1,Spain,,https://www.leaandsandeman.co.uk//photos/2020-CAMINA-Verdejo.90x235.26994.png,2020,CAMINA,Verdej,White
52, A very well made single varietal Macabeo from Castilla y Leon. Bodegas Roqueta have been firm favourites of ours for quite some time making super value wines that still provide lots of enjoyment. This is cold ferm...(read more),8,1,Spain,,https://www.leaandsandeman.co.uk//photos/2018-MACABEO-Las-Corazas-Bodegas-Roqueta.90x235.22838.png,2018,MACABEO,Las Corazas Bodegas Roquet,White
53," Appley fresh and thirst quenching, with a delicious citrus spritz. Lighter bodied but not lacking in flavour and depth, citrus, apples and wild flowers. Just a great match for all things fish and seafood.",9,1,Portugal,,https://www.leaandsandeman.co.uk//photos/2020-VINHO-VERDE-Espigueiro-Casa-Agricola-de-Compostela.90x235.27306.png,2020,VINHO VERDE,Espigueiro Casa Agricola de Compostel,White
54, This has been an L&S house favourite for an eternity - the Valensac Sauvignon is a real winner. Ripe gooseberry compote and fresh green pepper flavours with a slightly zingy hint of the new world about it. This is as...(read more),9,1,France,,https://www.leaandsandeman.co.uk//photos/2021-SAUVIGNON-BLANC-Domaine-de-Valensac.90x235.28174.png,2021,SAUVIGNON BLANC,Domaine de Valensa,White
55, A fresh white from southern France that melds the lemon peel and elderflower of sauvignon blanc with the grassy-pear flavours of vermentino. A drink-with-anything summer stalwart.,9,1,France,,https://www.leaandsandeman.co.uk//photos/2021-SAUVIGNON-VERMENTINO-Domaine-Saint-Felix.90x235.28572.png,2021,SAUVIGN,N-VERMENTINO Domaine Saint Féli,White
56," Firm green fruit and pithy notes on both nose and palate. Fresh with good acidity. From one of the coolest parts of the Languedoc, so this Sauvignon has a refreshing grip that Languedoc Sauvignons often lack. ",9,1,France,,https://www.leaandsandeman.co.uk//photos/2021-T-AIR-D-OC-Sauvignon-Blanc-Domaine-Gayda.90x235.28845.png,2021,’AIR D’OC, Sauvignon Blanc Domaine Gayd,White
57," Beautifully fresh, all grass with subtle lemon zest. Order the syrah too for a pair of excellent house wines.",9,1,France,,https://www.leaandsandeman.co.uk//photos/2021-VERMENTINO-Domaine-les-Yeuses.90x235.28892.png,2021,VERMENTINO,Domaine les Yeuse,White
58,,9,1,Spain,,https://www.leaandsandeman.co.uk//photos/2021-OLD-HANDS-BLANCO-Sauvignon-Ecologico-Bodegas-La-Purisima.90x235.28747.png,2021,OLD HANDS BLANCO,Sauvignon Ecológico Bodegas La Purisim,White
59," Brilliantly made Chenin Blanc from the Western Cape. All about freshness here, with no oak whatsoever. Citrus and green apple on the nose that continues on the palate. For the price, this wine certainly over delivers. Lo...(read more)",9,1,South Africa,,https://www.leaandsandeman.co.uk//photos/2020-INDABA-WESTERN-CAPE-Chenin-Blanc.90x235.29251.png,2020,INDABA WESTERN CAPE,Chenin Blan,White
60," Proper Pinot Grigio, from vineyards in Istria, just across the Adriatic from Venice. Pear, peach and some nice peppery spice, this has just the right amount of fruit and acidity, giving a wine of lovely balance.",11,1,Croatia,,https://www.leaandsandeman.co.uk//photos/2020-PINOT-GRIGIO-Vina-Laguna.90x235.28370.png,2020,PINOT GRIGIO,Vina Lagun,White
61,,11,1,Croatia,,https://www.leaandsandeman.co.uk//photos/2020-MALVASIA-Festigia-Vina-Laguna.90x235.27179.png,2020,MALVASIA,Festigia Vina Lagun,White
62," Always such a delight, gently aromatic with white flowers, peach blossom and gentle apricot skin. In the mouth nothing is overdone, stone fruit persistence is surrounded by floral aromatics that never get too much and th...(read more)",11,1,France,,https://www.leaandsandeman.co.uk//photos/2021-VIOGNIER-Domaine-les-Yeuses.90x235.29247.png,2021,VIOGNIER,Domaine les Yeuse,White
63," We are delighted to have met the Artner family who make this brilliant, bright Grüner in the easterly region of Carnuntum. Our second vintage, the 2020, is completely delicious. Brighter even than the sensational 20...(read more)",12,1,Austria,,https://www.leaandsandeman.co.uk//photos/2020-GRUNER-VELTLINER-Klassik-Artner.90x235.27221.png,2020,GRÜNER VELTLINER,Klassik Artne,White
64," Roussanne is a grape variety originally hailing from the southern Rhone Valley in France, and it's quite unusual to find it in South Africa. A lovely bold, rich, honey flecked white with wild flowers, quince and a nice c...(read more)",12,1,South Africa,,https://www.leaandsandeman.co.uk//photos/2020-RUSTENBERG-Roussanne.90x235.25786.png,2020,RUSTENBERG,Roussann,White
65," The canny M. Filliatreau ferments this in the new barrels he buys each year for his red wine. It only stays in them for around six weeks, the time between the white harvest and when the red is ready to go into barrel, bu...(read more)",12,1,France,,https://www.leaandsandeman.co.uk//photos/2020-CHATEAU-BEAUMONT-Blanc-Les-Pierrieres-Blaye.90x235.28364.png,2020,CHATEAU BEAUMONT,Blanc 'Les Pierrières' Blay,White
66," Bright fresh and zippy with rich citrus, peach and white flowers, palate has nice intensity with Apple, lemon and peach fruit, crisp and lively, decent mousse, good length.",12,1,Italy,,https://www.leaandsandeman.co.uk//photos/PROSECCO-TREVISO-Spumante-Brut-il-Follo-Prosecco.90x235.27414.png,0,CCO TREVISO,Spumante Brut il Follo Prosecc,White
67," This is not the Greco di Tufo of Campania, but Greco di Matera of Basilicata – an attractive alfresco sipper with a pleasingly spicy quality backed up by juicy stone fruit flavours and etched with a citrusy freshness on...(read more)",13,1,Italy,,https://www.leaandsandeman.co.uk//photos/2019-GRECO-DI-MATERA-Le-Paglie-DOC-Battifarano.90x235.26358.png,2019,GRECO DI MATERA,Le Paglie DOC Battifaran,White
68," To say we are excited about having our very own Greek white is an understatement, we are beside ourselves about this beauty. Fragrant with notes of grapefruit, lime and honeysuckle. In the mouth there is a delicious pith...(read more)",13,1,Greece,,https://www.leaandsandeman.co.uk//photos/2019-MANTINIA-Moropoulous.90x235.27186.png,2019,MANTINIA,Moropoulou,White
69," Always so fresh and bright with nectarine, lime and almond blossom aromas and flavours. Persistent with lovely fresh fruit weight in the mouth, citrus and stone fruit, just a touch of fresh almond. The acidity lifts the...(read more)",13,1,Italy,,https://www.leaandsandeman.co.uk//photos/2020-SUAVIS-Vernaccia-Di-San-Gimignano-Mormoraia.90x235.26740.png,2020,SUAVIS,Vernaccia Di San Gimignano Mormorai,White
70," Fragrant with wild flowers, chamomile, citrus, yellow plum and pear fruit. Lovely textural feel with a hint of citrus oil, nut and stone fruit skins, a lot of wine for the money.",13,1,France,,https://www.leaandsandeman.co.uk//photos/2020-GRENACHE-BLANC-VIOGNIER-Champs-des-Lys-Domaine-La-Croix-Belle.90x235.28015.png,2020,GRENACHE BLA,C-VIOGNIER Champs des Lys Domaine La Croix Bell,White
71, Made by Simon Coulshaw of the minimal intervention philosophy. Biodynamic farming although not certified. 100% Roussanne planted on their highest vineyards – a steep north-facing slope in the foothills of the Ceve...(read more),14,1,France,,https://www.leaandsandeman.co.uk//photos/2019-ROUSSANNE-L-Imaginaire-Domaine-des-Trinites.90x235.25147.png,2019,ROUSSANNE,L'Imaginaire Domaine des Trinité,White
72," A delicious and incredibly easy drinking white burgundy from the talented Damian Martin. Peachy, melon and delicately buttery white with medium weight, bright acid lift, and a lip smacking fresh finish.",14,1,France,,https://www.leaandsandeman.co.uk//photos/2020-BOURGOGNE-BLANC-Escargot-Damien-Martin.90x235.26876.png,2020,BOURGOGNE BLAN, 'Escargot' Damien Marti,White
73," Brilliant Burgundy at a remarkable price! Surprisingly deep fruit intensity, pear and citrus and firm peach. with impressively sleek texture and weight but this finishes bright and energetic.",13,1,France,,https://www.leaandsandeman.co.uk//photos/2020-MACON-VILLAGES-Domaine-de-la-Denante.90x235.26866.png,2020,MACON VILLAGES,Domaine de la Denant,White
74," As always, this has a selection of riper fruit, in the more tropical spectrum of melon and peach. It retains purity well. The palate holds such impressive concentration and hits the mark of freshness. A very strong relea...(read more)",14,1,New Zealand,,https://www.leaandsandeman.co.uk//photos/2020-KUMEU-VILLAGE-Chardonnay-Kumeu-River.90x235.27241.png,2020,KUME, 'VILLAGE' Chardonnay Kumeu Rive,White
75," Bright and clean Soave that totally delivers. Crisp but with no hard edges - no brisk acidity, just a great texture and clean mineral flow. There is no wood used here - but the juice stays on the lees for about 4 months...(read more)",14,1,Italy,,https://www.leaandsandeman.co.uk//photos/2021-SOAVE-CLASSICO-Montesei-Le-Battistelle.90x235.28904.png,2021,SOAVE CLASSICO,Montesei Le Battistell,White
76," Pale and clean as a whistle in the glass. Green hue but bright. Nose is pretty and floral aromatics abound, white sprays of blossom. There is trademark viognier notes of apricot and some intense ripe peach notes too whic...(read more)",14,1,France,,https://www.leaandsandeman.co.uk//photos/2020-VIOGNIER-L-Invite-Domaine-des-Trinites.90x235.29177.png,2020,VIOGNIER,L'Invité Domaine des Trinité,White
77, L&S works hard to find the right producers for the labels that bear its name. This white burgundy is creamy and glittering.,14,1,France,,https://www.leaandsandeman.co.uk//photos/2020-LEA-SANDEMAN-White-Burgundy-Bourgogne-Blanc.90x235.28834.png,2020,LE, & SANDEMAN White Burgundy Bourgogne Blan,White
78," This is simply a brilliant wine. Laser like acidity and poise, filled with ripe citrus and tangy tropical fruits. Elegant, taut and pure with superb length and weight.",14,1,Germany,,https://www.leaandsandeman.co.uk//photos/2020-RIESLING-Trocken-Weingut-Braunewell.90x235.28712.png,2020,RIESLING,Trocken Weingut Braunewel,White
79, Very old vineyards of Xarel lo fermented and aged for 10 months in a mixture of 300 and 400 litre oak barrels (with weekly batonnage to keep the lees in suspension) and stainless steel tanks giving texture and...(read more),15,1,Spain,,https://www.leaandsandeman.co.uk//photos/2019-AUTOCTON-BLANC-Autocton-Celler.90x235.26174.png,2019,AUTÒCTON BLANC,Autòcton Celle,White
80," Fresh as snow melting in your mouth, this is a white that is not immensely characterful, but its whistle-clean well-water delicate freshness is a virtue in itself, crystalline and pure.",15,1,France,,https://www.leaandsandeman.co.uk//photos/2020-APREMONT-Sous-le-Roc-Domaine-Trosset.90x235.27674.png,2020,APREMONT,Sous le Roc Domaine Trosse,White
81," From a small family-run Domaine in the heart of Chenin Blanc territory, (Coteaux du Layon) this is a beautifully crafted Cremant de Loire. Traditionally made (bottle-fermented) sparkling wine which is vinified fro...(read more)",15,1,France,,https://www.leaandsandeman.co.uk//photos/CREMANT-DE-LOIRE-Brut-Domaine-des-Hauts-Perrays.90x235.22851.png,0,NT DE LOIRE,Brut Domaine des Hauts Perray,White
82," 'The Ugly Duckling' provides the name. Southern white Rh0ne, made of Grenache Gris, so definitely different - and officially just 'Vin de France'. Pale and green-tinged colour, fresh hay on the nose, subtle and del...(read more)",15,1,France,,https://www.leaandsandeman.co.uk//photos/2019-LE-VILAIN-PETIT-CANARD-Domaine-Romain-Roche.90x235.27169.png,2019,LE VILAIN PETIT CANARD,Domaine Romain Roch,White
83," These wines are so thought provoking what with their winemaking philosophy being of a more low intervention bent. Not particularly explosive on the nose, more reserved and concentrated with quince, peach and a dusting of...(read more)",15,1,Spain,,https://www.leaandsandeman.co.uk//photos/2020-EL-OSO-Y-LA-ALEMANA-White-Maquina-y-Tabla.90x235.27554.png,2020,EL OSO Y LA ALEMANA,White Màquina y Tabl,White
